"abstract","web_url","snippet","lead_paragraph","print_section","print_page","source","pub_date","document_type","news_desk","section_name","type_of_material","_id","word_count","uri","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"A Trump victory probably would lead to an immediate market sell-off, the direction in the days and weeks that follow is not clear.","https://www.nytimes.com/2016/11/01/business/dealbook/what-happens-to-the-markets-if-donald-trump-wins.html","A Trump victory probably would lead to an immediate market sell-off, the direction in the days and weeks that follow is not clear.","Assume, for a moment, that Donald J. Trump wins the presidency.","B","1","The New York Times","2016-11-01T00:21:14+0000","article","Business","Business Day","News","nyt://article/d376fba7-f539-5932-85ec-fb98fc2db34a",1072,"nyt://article/d376fba7-f539-5932-85ec-fb98fc2db34a","DealBook","What Happens to the Markets if Donald Trump Wins?","DealBook",NA,"The Markets  Under Trump: Hands Wring",NA,NA,NA,"By Andrew Ross Sorkin",NA
"Mr. Trump's own lawyers at Willkie Farr & Gallagher cautioned him about using a a tax avoidance maneuver in the 1990s.","https://www.nytimes.com/interactive/2016/10/31/us/politics/trump-tax-letters.html","Mr. Trump's own lawyers at Willkie Farr & Gallagher cautioned him about using a a tax avoidance maneuver in the 1990s.","Mr. Trump's own lawyers at Willkie Farr & Gallagher cautioned him about using a a tax avoidance maneuver in the 1990s.",NA,NA,"The New York Times","2016-11-01T00:27:01+0000","multimedia","U.S.","U.S.","Interactive Feature","nyt://interactive/6c39e9c8-91b8-589d-867a-0e3b5ef36498",0,"nyt://interactive/6c39e9c8-91b8-589d-867a-0e3b5ef36498","Politics","Donald Trump's Lawyers' Warnings on Tax Maneuver",NA,NA,"",NA,NA,NA,"By The New York Times","The New York Times"
"Mr. Trump managed to save millions in personal taxes by borrowing – then losing – other people’s money.","https://www.nytimes.com/interactive/2016/us/politics/trump-taxes-loophole.html","Mr. Trump managed to save millions in personal taxes by borrowing – then losing – other people’s money.","Mr. Trump managed to save millions in personal taxes by borrowing – then losing – other people’s money.",NA,NA,"The New York Times","2016-11-01T00:27:16+0000","multimedia","U.S.","U.S.","Interactive Feature","nyt://interactive/50fa7556-cbbd-5870-9d3d-dc213aaa21f2",0,"nyt://interactive/50fa7556-cbbd-5870-9d3d-dc213aaa21f2","Politics","How Donald Trump Avoided Paying Taxes Using Other People’s Money",NA,NA,"",NA,NA,NA,"By GABRIEL J.X. DANCE and AARON BYRD",NA
"Thanks to a maneuver later outlawed by Congress, Mr. Trump potentially escaped paying tens of millions of dollars in federal personal income taxes.","https://www.nytimes.com/2016/11/01/us/politics/donald-trump-tax.html","Thanks to a maneuver later outlawed by Congress, Mr. Trump potentially escaped paying tens of millions of dollars in federal personal income taxes.","Donald J. Trump proudly acknowledges he did not pay a dime in federal income taxes for years on end. He insists he merely exploited tax loopholes legally available to any billionaire — loopholes he says Hillary Clinton failed to close during her years in the United States Senate. “Why didn’t she ever try to change those laws so I couldn’t use them?” Mr. Trump asked during a campaign rally last month.","A","1","The New York Times","2016-11-01T00:29:33+0000","article","National","U.S.","News","nyt://article/f4f5bf0a-c3a1-5b30-84e6-f155d0799112",2302,"nyt://article/f4f5bf0a-c3a1-5b30-84e6-f155d0799112","Politics","Donald Trump Used Legally Dubious Method to Avoid Paying Taxes",NA,NA,"In ’90s Crisis, Trump Used a Tax Tactic Now Banned",NA,NA,NA,"By David Barstow, Mike McIntire, Patricia Cohen, Susanne Craig and Russ Buettner",NA
"After lengthy investigations, officials also believe that a hacking of Democratic emails was aimed at disrupting the election rather than electing Mr. Trump.","https://www.nytimes.com/2016/11/01/us/politics/fbi-russia-election-donald-trump.html","After lengthy investigations, officials also believe that a hacking of Democratic emails was aimed at disrupting the election rather than electing Mr. Trump.","WASHINGTON — For much of the summer, the F.B.I. pursued a widening investigation into a Russian role in the American presidential campaign. Agents scrutinized advisers close to Donald J. Trump, looked for financial connections with Russian financial figures, searched for those involved in hacking the computers of Democrats, and even chased a lead — which they ultimately came to doubt — about a possible secret channel of email communication from the Trump Organization to a Russian bank.","A","21","The New York Times","2016-11-01T01:14:27+0000","article","National","U.S.","News","nyt://article/637be42c-a519-57e9-b251-1e98afa86446",1526,"nyt://article/637be42c-a519-57e9-b251-1e98afa86446","Politics","Investigating Donald Trump, F.B.I. Sees No Clear Link to Russia",NA,NA,"Investigating Trump, F.B.I. Sees No Clear Link to Russian Government",NA,NA,NA,"By Eric Lichtblau and Steven Lee Myers",NA
"Senator Roy Blunt is trying to ward off an aggressive Democratic challenge from Jason Kander.","https://www.nytimes.com/2016/11/01/opinion/in-missouri-strapped-to-mr-trump.html","Senator Roy Blunt is trying to ward off an aggressive Democratic challenge from Jason Kander.","Being yoked to Donald Trump’s campaign has been harrowing for Republicans like Senator Roy Blunt of Missouri, the presumed early favorite now caught in a surprisingly tight race for re-election. “There you go again,” Mr. Blunt snapped recently at reporters who kept asking about his continuing endorsement of Mr. Trump despite the Republican nominee’s serial vulgarities and campaign gaffes. “Asked and answered like 10 times in the last week, and the answer’s still the same.”","A","26","The New York Times","2016-11-01T07:21:04+0000","article","Editorial","Opinion","Editorial","nyt://article/ab7c97f2-2222-5c37-92b8-ae9c29ca799d",532,"nyt://article/ab7c97f2-2222-5c37-92b8-ae9c29ca799d",NA,"In Missouri, Strapped to Mr. Trump","Hot Seats",NA,"In Missouri, Strapped to Mr. Trump",NA,NA,NA,"By The Editorial Board","The Editorial Board"
"Judge the man who would be president on his vibe, not his words.","https://www.nytimes.com/2016/11/01/opinion/campaign-stops/peter-thiel-wants-you-to-take-trump-seriously-but-not-too-seriously.html","Judge the man who would be president on his vibe, not his words.","Washington — It was the perfect way to celebrate Halloween at the National Press Club.",NA,NA,"The New York Times","2016-11-01T07:21:05+0000","article","OpEd","Opinion","Op-Ed","nyt://article/c7d4ef3f-3edc-5193-837b-6f39565446d0",984,"nyt://article/c7d4ef3f-3edc-5193-837b-6f39565446d0","Campaign Stops","Peter Thiel Wants You to Take Trump Seriously, but Not Too Seriously","Contributing Op-Ed Writer",NA,"",NA,NA,NA,"By Emma Roller",NA
"When future generations ask what you did in the election of 2016, what will you say?","https://www.nytimes.com/2016/11/01/opinion/how-you-can-fight-donald-trump-right-now.html","When future generations ask what you did in the election of 2016, what will you say?","One day, Americans who were too young to have followed the 2016 campaign will look back and try to make sense of it. They will want to know how such a dangerous person could have gotten so close to the presidency — a man who spoke of abandoning our allies, admiring foreign despots, weakening constitutional rights, and serially molesting women.","A","27","The New York Times","2016-11-01T07:21:06+0000","article","OpEd","Opinion","Op-Ed","nyt://article/aa23cf77-83aa-5e03-9b30-bc012bbd4546",813,"nyt://article/aa23cf77-83aa-5e03-9b30-bc012bbd4546",NA,"How You Can Fight Donald Trump Right Now","Op-Ed Columnist",NA,"What Did  You Do  in 2016?",NA,NA,NA,"By David Leonhardt",NA
"The candidate has brought views that used to be unthinkable to the main stage of American politics. Is the damage permanent?","https://www.nytimes.com/2016/11/06/magazine/the-normalization-of-trump-and-what-comes-after.html","The candidate has brought views that used to be unthinkable to the main stage of American politics. Is the damage permanent?","Early this year, when a string of primary victories established Donald Trump as a viable presidential candidate and making sense of him became a matter of some national urgency, one of the more incisive assessments came from Newt Gingrich. At a closed-door meeting of the Republican State Leadership Committee in February, Gingrich argued that Trump was not a conservative but rather an “American nationalist” — one whose success suggested he had found “a formula worthy of study.” He noted how Trump seemed bent on not just vanquishing his rivals but on eviscerating them. “He’s the grizzly bear in the room,” Gingrich said. “He’s not normal.”","MM","15","The New York Times","2016-11-01T09:00:05+0000","article","Magazine","Magazine","News","nyt://article/620bfb22-2558-528f-971a-3465c5d78ba7",1224,"nyt://article/620bfb22-2558-528f-971a-3465c5d78ba7",NA,"The ‘Normalization’ of Trump, and What Comes After","First Words",NA,"Crossover Act",NA,NA,NA,"By Charles Homans",NA
"For all he gets wrong on race, the Republican nominee got one thing right: The Democratic Party does take black Americans for granted, and that’s a problem.","https://www.nytimes.com/2016/11/01/magazine/trumps-inconvenient-racial-truth.html","For all he gets wrong on race, the Republican nominee got one thing right: The Democratic Party does take black Americans for granted, and that’s a problem.","With the race for the presidency entering its last days, Donald J. Trump last Wednesday once again made his pitch to black America: a new deal aimed just at them. “I will be your greatest champion,” Trump said at a campaign rally in the battleground state of North Carolina. “I will never ever take the African-American community for granted. Never, ever.”","SR","6","The New York Times","2016-11-01T09:00:06+0000","article","Magazine","Magazine","News","nyt://article/57d78105-57c3-5579-ab54-85b118636b10",2582,"nyt://article/57d78105-57c3-5579-ab54-85b118636b10",NA,"Trump’s Inconvenient Racial Truth","Notebook",NA,"On Black America, Trump Isn’t Entirely Wrong",NA,NA,NA,"By Nikole Hannah-Jones",NA
