"abstract","web_url","snippet","lead_paragraph","print_section","print_page","source","pub_date","document_type","news_desk","section_name","subsection_name","type_of_material","_id","word_count","uri","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"Kimmel said that when Trump delivered a speech while wearing an orange safety vest, it was “like a 4-year-old who wants to wear his costume to school.”","https://www.nytimes.com/2024/11/01/arts/television/jimmy-kimmel-trump-garbage-man.html","Kimmel said that when Trump delivered a speech while wearing an orange safety vest, it was “like a 4-year-old who wants to wear his costume to school.”","Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",NA,NA,"The New York Times","2024-11-01T06:34:28+0000","article","Culture","Arts","Television","News","nyt://article/4d1c9b87-6755-5810-9cf5-72d445de68ed",522,"nyt://article/4d1c9b87-6755-5810-9cf5-72d445de68ed","Jimmy Kimmel Trashes Trump’s ‘Cosplay Garbage Man’","Best of Late Night",NA,"",NA,NA,NA,"By Trish Bendix",NA
"Vice President Kamala Harris said that anyone who uses “that kind of violent rhetoric is clearly disqualified, and unqualified, to be president.”","https://www.nytimes.com/2024/11/01/us/politics/trump-liz-cheney-tucker-carlson.html","Vice President Kamala Harris said that anyone who uses “that kind of violent rhetoric is clearly disqualified, and unqualified, to be president.”","Election 2024 live updates: Follow our coverage of Trump and Harris on Election Day.",NA,NA,"The New York Times","2024-11-01T06:45:05+0000","article","Politics","U.S.","Politics","News","nyt://article/31f2f94c-3c19-5036-bed8-857f9f2e5567",1004,"nyt://article/31f2f94c-3c19-5036-bed8-857f9f2e5567","Trump Assails Liz Cheney and Imagines Guns ‘Shooting at Her’",NA,NA,"",NA,NA,NA,"By Michael Gold and Adam Nagourney",NA
"The film, now available on demand, followed a thorny path to distribution — including the threat of a lawsuit by its subject.","https://www.nytimes.com/2024/11/01/movies/the-apprentice-trump-cohn.html","The film, now available on demand, followed a thorny path to distribution — including the threat of a lawsuit by its subject.","If you know one thing about the new Donald Trump biopic “The Apprentice,” it’s likely this: The former president doesn’t want you to see it.",NA,NA,"The New York Times","2024-11-01T09:00:39+0000","article","Culture","Movies",NA,"News","nyt://article/ee9a573f-0cbb-56ec-9343-e64333fe5cbf",1136,"nyt://article/ee9a573f-0cbb-56ec-9343-e64333fe5cbf","What to Know About ‘The Apprentice,’ the Controversial Donald Trump Biopic",NA,NA,"",NA,NA,NA,"By Sarah Bahr",NA
"In the former president’s pitch to voters, historians hear echoes of the nation’s inescapable xenophobic history.","https://www.nytimes.com/2024/11/01/us/politics/trump-immigration-rhetoric-history.html","In the former president’s pitch to voters, historians hear echoes of the nation’s inescapable xenophobic history.","Former President Donald J. Trump’s third run for the White House has neared its end the same way his first one started: with relentless dehumanizing portrayals of immigrants.",NA,NA,"The New York Times","2024-11-01T09:02:20+0000","article","Politics","U.S.","Politics","News","nyt://article/18a0edf8-2e9e-5d45-826a-bccfbc876824",1546,"nyt://article/18a0edf8-2e9e-5d45-826a-bccfbc876824","The Deep Roots of 4 of Donald Trump’s Nativist Remarks",NA,NA,"",NA,NA,NA,"By Jazmine Ulloa",NA
"Mr. Trump and his allies envision a second term that would try to permanently eliminate protections for air, water and climate.","https://www.nytimes.com/2024/11/01/climate/trump-environment-election.html","Mr. Trump and his allies envision a second term that would try to permanently eliminate protections for air, water and climate.","On the campaign trail, Donald J. Trump has repeatedly said that he wants “the cleanest air and the cleanest water.”","A","10","The New York Times","2024-11-01T09:04:18+0000","article","Climate","Climate",NA,"News","nyt://article/c437578b-0cfb-573d-b25e-f4a535f1d29e",1885,"nyt://article/c437578b-0cfb-573d-b25e-f4a535f1d29e","What Trump’s Environmental Record Says About a Second Term",NA,NA,"Trump’s Acts On Climate Offer Preview Of His Plans",NA,NA,NA,"By Coral Davenport, Christopher Flavelle and Lisa Friedman",NA
"The hosts dig into what they got right, and what they got so wrong, about this campaign season.","https://www.nytimes.com/2024/11/01/opinion/election-trump-harris-campaign-review.html","The hosts dig into what they got right, and what they got so wrong, about this campaign season.","Is this really the most consequential election of our lifetimes?",NA,NA,"The New York Times","2024-11-01T09:04:26+0000","article","OpEd","Opinion",NA,"Op-Ed","nyt://article/44c2bbd3-a001-5a86-a3a0-515fac6d0c62",333,"nyt://article/44c2bbd3-a001-5a86-a3a0-515fac6d0c62","This Election Is the Tiebreaker Over Trumpism",NA,NA,"",NA,NA,NA,"By Michelle Cottle, Ross Douthat and Carlos Lozada",NA
"You aren’t just choosing a candidate. You’re choosing a theory of power.","https://www.nytimes.com/2024/11/01/opinion/donald-trump-kamala-harris-election-power.html","You aren’t just choosing a candidate. You’re choosing a theory of power.","What does it mean to say that “democracy is on the ballot” on Election Day?","SR","4","The New York Times","2024-11-01T09:04:52+0000","article","OpEd","Opinion",NA,"Op-Ed","nyt://article/6c46cd8a-1cf2-533e-959b-144f0b4ba49c",1818,"nyt://article/6c46cd8a-1cf2-533e-959b-144f0b4ba49c","Donald Trump Is Done With Checks and Balances","Jamelle Bouie",NA,"Autocracy Is on the Ballot",NA,NA,NA,"By Jamelle Bouie",NA
"The transition from democracy to autocracy is a process, not an on-off switch.","https://www.nytimes.com/2024/11/01/opinion/donald-trump-dictator-fascism.html","The transition from democracy to autocracy is a process, not an on-off switch.","Lately, I’ve seen conservatives taunting liberals online by asking why, if we really think America could be on the verge of fascism, our bags aren’t packed. “It’s tempting to begin trolling my anti-Trump friends by asking if they are liquefying assets, getting passports in order, etc.?” Scott McConnell, a founding editor of The American Conservative, posted on X. National Review’s Michael Brendan Dougherty said something similarly snarky: “So fascism is here and you’re not doing what people did when fascism showed up, which is contemplating emigration in terror or joining armed resistance.”","SR","3","The New York Times","2024-11-01T09:05:00+0000","article","OpEd","Opinion",NA,"Op-Ed","nyt://article/028152b6-58b1-5a58-b077-77c02f6f38df",1376,"nyt://article/028152b6-58b1-5a58-b077-77c02f6f38df","What I Truly Expect if an Unconstrained Trump Retakes Power","Michelle Goldberg",NA,"What I Fear  If Trump  Returns",NA,NA,NA,"By Michelle Goldberg",NA
"A Democratic strategist explains how a deadlocked presidential race may play out in the Electoral College.","https://www.nytimes.com/interactive/2024/11/01/opinion/harris-trump-electoral-college-prediction.html","A Democratic strategist explains how a deadlocked presidential race may play out in the Electoral College.","A Democratic strategist explains how a deadlocked presidential race may play out in the Electoral College.",NA,NA,"The New York Times","2024-11-01T09:05:09+0000","multimedia","Opinion","Opinion",NA,"Interactive Feature","nyt://interactive/7adec5e8-5179-5db8-b7b8-911ad0e52196",0,"nyt://interactive/7adec5e8-5179-5db8-b7b8-911ad0e52196","Why Trump Has a More Plausible Path to the Presidency, in 19 Maps",NA,NA,"",NA,NA,NA,"By Doug Sosnik",NA
"Oil moguls are big donors to Donald Trump. But so are engineering firms, hedge fund managers, shipbuilders and others that profit from fossil fuels.","https://www.nytimes.com/2024/11/01/climate/oil-gas-donations-trump.html","Oil moguls are big donors to Donald Trump. But so are engineering firms, hedge fund managers, shipbuilders and others that profit from fossil fuels.","Oil and gas interests have given an estimated $75 million to Donald J. Trump’s presidential campaign, the Republican National Committee and affiliated committees, far more than has been previously known, according to a new analysis of federal campaign data.",NA,NA,"The New York Times","2024-11-01T09:05:11+0000","article","Climate","Climate",NA,"News","nyt://article/354c2089-631e-5477-a30f-4ba61b853d0b",1867,"nyt://article/354c2089-631e-5477-a30f-4ba61b853d0b","Oil Interests Gave More Than $75 Million to Trump PACs, New Analysis Shows",NA,NA,"",NA,NA,NA,"By Lisa Friedman",NA
"Latino voters could determine who will be the next president. Donald Trump might have jeopardized his chances with them.","https://www.nytimes.com/2024/11/01/opinion/donald-trump-latino-voters.html","Latino voters could determine who will be the next president. Donald Trump might have jeopardized his chances with them.","Republicans’ growing support among Latinos is no longer guaranteed after a comedian made a racist joke at Donald Trump’s Madison Square Garden rally. But could it cost Trump the election? Isvett Verde, a Times Opinion editor, speaks with Mike Madrid, a Republican and an expert on Latino voting trends and behaviors, about why the election may hinge on each candidate’s ability to sway Latino voters.",NA,NA,"The New York Times","2024-11-01T09:05:30+0000","article","OpEd","Opinion",NA,"Op-Ed","nyt://article/eb448712-8c54-5cf1-9260-54f65afe0154",2527,"nyt://article/eb448712-8c54-5cf1-9260-54f65afe0154","Did Trump Just Lose His Crucial Latino Support?",NA,NA,"",NA,NA,NA,"By Isvett Verde and Sophia Alvarez Boyd",NA
